code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sz.300302,2014-02-27,2013-12-31,2014-02-27,545395512.17,482668371.2,-0.154912,4.24,0.34,0.098763,-0.402048
sz.300303,2014-02-25,2013-12-31,2014-02-25,1259129499.37,915893907.34,0.181107,15.3,0.6,0.521903,0.353265
sz.300304,2014-02-26,2013-12-31,2014-02-26,1121959501.87,898548748.78,0.029968,10.93,0.94,0.107017,0.070838
sz.300305,2014-02-26,2013-12-31,2014-02-26,1259674149.8,1196083433.71,-0.366485,4.95,0.41,0.205951,-0.366825
sz.300306,2014-02-24,2013-12-31,2014-02-24,1039402090.26,975987220.17,0.144097,9.66,0.75,0.111854,0.20411
sz.300307,2014-02-27,2013-12-31,2014-02-27,4841163739.67,4209221231.64,-0.083429,7.65,0.39,-0.049475,-0.146249
sz.300308,2014-02-28,2013-12-31,2014-02-28,738783806.02,530768801.9,-0.109193,2.99,0.14,-0.224015,-0.877229
sz.300309,2014-02-27,2013-12-31,2014-02-27,1433540600.0,1241805400.0,-0.132661,6.14,0.34,0.08131100000000001,-0.209786
sz.300310,2014-02-27,2013-12-31,2014-02-27,826874576.29,636782687.03,-0.182473,6.19,0.22,0.146224,-0.425821
sz.300311,2014-02-28,2013-12-31,2014-02-28,544152734.89,419672109.29,-0.17954,6.37,0.37,0.265318,-0.456276
sz.300312,2014-02-28,2013-12-31,2014-02-28,1288644819.73,785927388.15,-0.777226,-6.29,-0.3289,-0.401998,-1.697059
sz.300313,2014-02-28,2013-12-31,2014-02-28,526796069.72,399943644.92,-0.093374,2.68,0.1163,-0.005136,-0.255866
sz.300314,2014-02-27,2013-12-31,2014-02-27,674097502.65,628192119.66,-0.061022,10.55,0.4,-0.150997,-0.133259
sz.300315,2014-02-27,2013-12-31,2014-02-27,1923986464.9,1524726558.08,0.101528,13.28,0.23,0.719633,0.739397
sz.300316,2014-02-27,2013-12-31,2014-02-27,1814091400.0,1682833200.0,-0.487367,2.91,0.16,-0.6518079999999999,-0.790553
sz.300317,2014-02-27,2013-12-31,2014-02-27,1102672900.0,585692900.0,0.11324,3.75,0.15,0.416193,17.47021
sz.300318,2014-02-13,2013-12-31,2014-02-13,741261394.05,698947674.45,0.029256,8.26,0.34,-0.060567,0.014556
sz.300319,2014-02-25,2013-12-31,2014-02-25,357795804.77,303403991.38,-0.02149,8.3,0.47,0.252632,-0.227546
sz.300320,2014-02-28,2013-12-31,2014-03-03,807372900.0,649625000.0,0.066595,10.83,0.51,0.169542,0.195865
sz.300321,2014-02-25,2013-12-31,2014-02-25,722297800.0,509027600.0,-0.05736,5.52,0.6193,0.14538199999999998,0.023375
sz.300322,2014-02-28,2013-12-31,2014-02-28,842333672.1,574320583.72,-0.038993,7.42,0.3402,0.384664,0.06833
sz.300323,2014-04-16,2013-12-31,2014-04-16,2465702596.26,1677245472.49,-0.319851,-0.51,-0.03,-0.041866,-4.842295
sz.300324,2014-02-27,2013-12-31,2014-02-27,640720400.0,520110400.0,-0.223964,4.1,0.2,-0.125134,-0.622713
sz.300325,2014-02-27,2013-12-31,2014-02-27,1445453900.0,721153500.0,0.043064,9.09,0.39,0.393794,0.158135
sz.300326,2014-02-21,2013-12-31,2014-02-21,611041622.26,508969612.41,0.110911,13.43,0.8332,0.24574,0.255732
sz.300327,2014-02-27,2013-12-31,2014-02-27,637654271.32,576076745.56,0.018367,4.68,0.2005,0.28517800000000004,0.287933
sz.300328,2014-02-27,2013-12-31,2014-02-27,735798751.98,580483295.19,-0.020909,7.97,0.4467,0.564333,-0.039311
sz.300329,2014-02-27,2013-12-31,2014-02-27,671958915.47,520223167.07,0.013052,6.3,0.24,0.114443,0.00468
sz.300330,2014-02-26,2013-12-31,2014-02-26,591616500.0,442677500.0,-0.052677,5.73,0.21,-0.117648,-0.425554
sz.300331,2014-02-28,2013-12-31,2014-02-28,589590669.64,463613448.31,-0.2572,2.99,0.22,0.2382,-1.141493
sz.300332,2014-02-25,2013-12-31,2014-02-25,1657662398.64,1263335048.99,0.086522,9.66,0.37,0.262571,0.328475
sz.300332,2014-07-30,2014-06-30,2014-07-30,1713063825.58,1295139009.78,0.040892000000000005,4.65,0.19,14.110842000000002,0.093658
sz.300333,2014-02-25,2013-12-31,2014-02-25,831103459.38,799518844.33,-0.253583,6.13,0.45,-0.177946,-0.272643
sz.300334,2014-02-28,2013-12-31,2014-02-28,999190150.82,780055828.41,0.119775,10.73,0.55,0.302546,0.504001
sz.300335,2014-02-27,2013-12-31,2014-02-27,843865467.22,786875020.27,0.051069,9.18,0.3348,-0.005875,0.255949
sz.300336,2014-02-26,2013-12-31,2014-02-26,1171630600.0,924832000.0,0.25190500000000005,13.01,1.2,0.247775,0.277224
sz.300337,2014-02-25,2013-12-31,2014-02-25,2270639882.41,1691238878.22,-0.128197,4.54,0.41,0.115764,-0.222005
sz.300338,2014-02-25,2013-12-31,2014-02-25,836185000.0,744929900.0,-0.114087,6.48,0.53,-0.06602000000000001,-0.282694
